learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1990.0,11.265625,0.0,1990.0,71.7,38.71699812902778,1990.0,0.0,0.0,0.0
2000.0,11.375,0.0,2000.0,71.7,38.76791525306377,2000.0,0.0,0.0,0.0
2010.0,11.46875,0.0,2010.0,71.5,38.59346720675688,2010.0,0.0,0.0,0.0
2020.0,11.578125,0.0,2020.0,71.39999999999999,38.171519986164256,2020.0,0.0,0.0,0.0
2030.0,11.6875,0.0,2030.0,71.2,37.86783106953625,2030.0,0.0,0.0,0.0
2040.0,11.796875,0.0,2040.0,71.5,38.46353154553698,2040.0,0.0,0.0,0.0
2050.0,11.90625,0.0,2050.0,71.2,37.76364013553696,2050.0,0.0,0.0,0.0
2060.0,12.03125,0.0,2060.0,71.2,37.499999999999986,2060.0,0.0,0.0,0.0
2070.0,12.140625,0.0,2070.0,70.89999999999999,37.141425312780804,2070.0,0.0,0.0,0.0
2080.0,12.234375,0.0,2080.0,70.7,36.4976159514521,2080.0,0.0,0.0,0.0
2090.0,12.359375,0.0,2090.0,70.8,36.74176776429809,2090.0,0.0,0.0,0.0
2100.0,12.46875,0.0,2100.0,70.8,36.611860528726545,2100.0,0.0,0.0,0.0
2110.0,12.59375,0.0,2110.0,70.39999999999999,35.825166941288686,2110.0,0.0,0.0,0.0
2120.0,12.703125,0.0,2120.0,70.39999999999999,35.71924947880471,2120.0,0.0,0.0,0.0
2130.0,12.8125,0.0,2130.0,70.0,34.95793946752232,2130.0,0.0,0.0,0.0
2140.0,12.921875,0.0,2140.0,69.6,34.23130676335818,2140.0,0.0,0.0,0.0
2150.0,13.0625,0.0,2150.0,69.5,34.04378627591753,2150.0,0.0,0.0,0.0
2160.0,13.171875,0.0,2160.0,69.19999999999999,33.53044003711935,2160.0,0.0,0.0,0.0
2170.0,13.296875,0.0,2170.0,69.1,33.52894610036482,2170.0,0.0,0.0,0.0
2180.0,13.40625,0.0,2180.0,69.19999999999999,33.448573898012086,2180.0,0.0,0.0,0.0
2190.0,13.53125,0.0,2190.0,69.3,33.50430164354839,2190.0,0.0,0.0,0.0
2200.0,13.609375,0.0,2200.0,69.19999999999999,33.282500953107125,2200.0,0.0,0.0,0.0
2210.0,13.734375,0.0,2210.0,69.1,33.34311255306663,2210.0,0.0,0.0,0.0
2220.0,13.828125,0.0,2220.0,68.7,32.57216716932357,2220.0,0.0,0.0,0.0
2230.0,13.96875,0.0,2230.0,68.7,32.53786931744706,2230.0,0.0,0.0,0.0
2240.0,14.078125,0.0,2240.0,68.8,32.96665520797523,2240.0,0.0,0.0,0.0
2250.0,14.203125,0.0,2250.0,68.60000000000001,32.26919758412426,2250.0,0.0,0.0,0.0
2260.0,14.328125,0.0,2260.0,68.5,32.23824602464377,2260.0,0.0,0.0,0.0
2270.0,14.453125,0.0,2270.0,68.7,32.74891495853208,2270.0,0.0,0.0,0.0
2280.0,14.5625,0.0,2280.0,68.8,33.17798642999108,2280.0,0.0,0.0,0.0
2290.0,14.6875,0.0,2290.0,68.8,33.17798642999108,2290.0,0.0,0.0,0.0
2300.0,14.8125,0.0,2300.0,68.8,33.02191385587689,2300.0,0.0,0.0,0.0
2310.0,14.953125,0.0,2310.0,68.7,32.913237311385465,2310.0,0.0,0.0,0.0
2320.0,15.09375,0.0,2320.0,68.60000000000001,32.648088406891354,2320.0,0.0,0.0,0.0
2330.0,15.21875,0.0,2330.0,69.0,33.20347514307383,2330.0,0.0,0.0,0.0
2340.0,15.34375,0.0,2340.0,69.0,33.383474803911014,2340.0,0.0,0.0,0.0
2350.0,15.484375,0.0,2350.0,69.39999999999999,34.47200712670457,2350.0,0.0,0.0,0.0
2360.0,15.609375,0.0,2360.0,69.0,33.48353180989162,2360.0,0.0,0.0,0.0
2370.0,15.75,0.0,2370.0,68.8,32.99861272768659,2370.0,0.0,0.0,0.0
2380.0,15.890625,0.0,2380.0,68.7,32.71016785910844,2380.0,0.0,0.0,0.0
2390.0,16.03125,0.0,2390.0,68.60000000000001,32.38587424633938,2390.0,0.0,0.0,0.0
2400.0,16.171875,0.0,2400.0,68.60000000000001,32.36344524239305,2400.0,0.0,0.0,0.0
2410.0,16.3125,0.0,2410.0,68.5,32.41677608712443,2410.0,0.0,0.0,0.0
2420.0,16.40625,0.0,2420.0,68.4,32.452941503392324,2420.0,0.0,0.0,0.0
2430.0,16.53125,0.0,2430.0,68.60000000000001,32.9564088548784,2430.0,0.0,0.0,0.0
2440.0,16.671875,0.0,2440.0,68.60000000000001,32.78102455419264,2440.0,0.0,0.0,0.0
2450.0,16.734375,0.0,2450.0,68.8,33.24204039712426,2450.0,0.0,0.0,0.0
2460.0,16.875,0.0,2460.0,69.0,33.48353180989162,2460.0,0.0,0.0,0.0
2470.0,17.015625,0.0,2470.0,68.8,32.91938285832228,2470.0,0.0,0.0,0.0
2480.0,17.140625,0.0,2480.0,69.0,33.166897348666126,2480.0,0.0,0.0,0.0
2490.0,17.265625,0.0,2490.0,69.1,33.22788092521521,2490.0,0.0,0.0,0.0
2500.0,17.40625,0.0,2500.0,68.8,32.73571604123816,2500.0,0.0,0.0,0.0
2510.0,17.546875,0.0,2510.0,68.7,32.630219543693514,2510.0,0.0,0.0,0.0
2520.0,17.6875,0.0,2520.0,68.60000000000001,32.67148401483801,2520.0,0.0,0.0,0.0
2530.0,17.828125,0.0,2530.0,68.89999999999999,33.33619137443196,2530.0,0.0,0.0,0.0
2540.0,17.96875,0.0,2540.0,68.4,32.57544722108426,2540.0,0.0,0.0,0.0
2550.0,18.125,0.0,2550.0,68.30000000000001,32.39035293515446,2550.0,0.0,0.0,0.0
2560.0,18.25,0.0,2560.0,68.2,32.4292738484291,2560.0,0.0,0.0,0.0
2570.0,18.390625,0.0,2570.0,68.5,33.06417339566512,2570.0,0.0,0.0,0.0
2580.0,18.515625,0.0,2580.0,68.30000000000001,32.56466984343093,2580.0,0.0,0.0,0.0
2590.0,18.65625,0.0,2590.0,67.9,31.789205269868265,2590.0,0.0,0.0,0.0
2600.0,18.8125,0.0,2600.0,67.9,31.837871812730405,2600.0,0.0,0.0,0.0
2610.0,18.953125,0.0,2610.0,68.10000000000001,32.16287714463131,2610.0,0.0,0.0,0.0
2620.0,19.109375,0.0,2620.0,68.2,32.59741581035712,2620.0,0.0,0.0,0.0
2630.0,19.25,0.0,2630.0,68.7,33.608796728377264,2630.0,0.0,0.0,0.0
2640.0,19.40625,0.0,2640.0,68.4,33.021331434191346,2640.0,0.0,0.0,0.0
2650.0,19.546875,0.0,2650.0,68.30000000000001,32.53883805064908,2650.0,0.0,0.0,0.0
2660.0,19.65625,0.0,2660.0,68.2,32.37639553429029,2660.0,0.0,0.0,0.0
2670.0,19.796875,0.0,2670.0,68.4,32.87564150494512,2670.0,0.0,0.0,0.0
2680.0,19.9375,0.0,2680.0,68.2,32.52447579156429,2680.0,0.0,0.0,0.0
2690.0,20.109375,0.0,2690.0,67.9,31.95981177667558,2690.0,0.0,0.0,0.0
2700.0,20.265625,0.0,2700.0,68.30000000000001,32.73580661862689,2700.0,0.0,0.0,0.0
2710.0,20.421875,0.0,2710.0,68.2,32.69100514765647,2710.0,0.0,0.0,0.0
2720.0,20.578125,0.0,2720.0,68.10000000000001,32.43243243243244,2720.0,0.0,0.0,0.0
2730.0,20.734375,0.0,2730.0,67.9,32.150798549168485,2730.0,0.0,0.0,0.0
2740.0,20.890625,0.0,2740.0,67.9,32.10315244428652,2740.0,0.0,0.0,0.0
2750.0,21.03125,0.0,2750.0,68.10000000000001,32.57353500680607,2750.0,0.0,0.0,0.0
2760.0,21.203125,0.0,2760.0,67.9,32.19837783034809,2760.0,0.0,0.0,0.0
2770.0,21.34375,0.0,2770.0,68.0,32.3424318667146,2770.0,0.0,0.0,0.0
2780.0,21.515625,0.0,2780.0,67.7,31.79841045954781,2780.0,0.0,0.0,0.0
