learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),IBLStreams size,sigmaForKernel,kValue
1900.0,9.40625,0.0,1900.0,70.7,37.93687778013132,1900.0,0.0,1688.0,0.5,17.0
1910.0,9.53125,0.0,1910.0,70.8,37.86837457710065,1910.0,0.0,1697.0,0.5,17.0
1920.0,9.671875,0.0,1920.0,71.0,37.98966779568236,1920.0,0.0,1705.0,0.5,17.0
1930.0,9.796875,0.0,1930.0,71.5,38.88683987065452,1930.0,0.0,1715.0,0.5,17.0
1940.0,9.921875,0.0,1940.0,71.89999999999999,39.62234961452845,1940.0,0.0,1725.0,0.5,17.0
1950.0,10.03125,0.0,1950.0,72.3,40.36444429134875,1950.0,0.0,1735.0,0.5,17.0
1960.0,10.140625,0.0,1960.0,72.5,40.47619047619047,1960.0,0.0,1744.0,0.5,17.0
1970.0,10.25,0.0,1970.0,73.0,41.418454488648194,1970.0,0.0,1753.0,0.5,17.0
1980.0,10.375,0.0,1980.0,73.5,42.3692543233933,1980.0,0.0,1763.0,0.5,17.0
1990.0,10.5,0.0,1990.0,74.0,43.10622505426792,1990.0,0.0,1768.0,0.5,17.0
2000.0,10.625,0.0,2000.0,74.0,42.91435396613503,2000.0,0.0,1774.0,0.5,17.0
2010.0,10.765625,0.0,2010.0,73.9,42.99617353624657,2010.0,0.0,1784.0,0.5,17.0
2020.0,10.890625,0.0,2020.0,73.9,42.80078895463511,2020.0,0.0,1793.0,0.5,17.0
2030.0,11.0,0.0,2030.0,73.9,42.83486503771584,2030.0,0.0,1803.0,0.5,17.0
2040.0,11.125,0.0,2040.0,73.7,42.31444113002281,2040.0,0.0,1809.0,0.5,17.0
2050.0,11.265625,0.0,2050.0,73.8,42.37807023717362,2050.0,0.0,1818.0,0.5,17.0
2060.0,11.40625,0.0,2060.0,73.8,42.03539823008849,2060.0,0.0,1826.0,0.5,17.0
2070.0,11.53125,0.0,2070.0,73.6,41.839971801198445,2070.0,0.0,1836.0,0.5,17.0
2080.0,11.65625,0.0,2080.0,73.4,41.09831709477413,2080.0,0.0,1846.0,0.5,17.0
2090.0,11.8125,0.0,2090.0,73.1,40.35476718403547,2090.0,0.0,1856.0,0.5,17.0
2100.0,11.9375,0.0,2100.0,73.1,40.13228761428279,2100.0,0.0,1863.0,0.5,18.0
2110.0,12.078125,0.0,2110.0,73.1,40.27902350653157,2110.0,0.0,1873.0,0.5,18.0
